model_file,model_name,RMSE
lh_supramarginal_volume_female.Rdata,mfp.female.model,1297.4290501136072
lh_supramarginal_volume_male.Rdata,mfp.male.model,1538.7323428315585
lh_temporalpole_volume_female.Rdata,mfp.female.model,375.3108015165274
lh_temporalpole_volume_male.Rdata,mfp.male.model,411.2969146232624
lh_transversetemporal_volume_female.Rdata,mfp.female.model,190.543979211165
lh_transversetemporal_volume_male.Rdata,mfp.male.model,214.58620090539407
rh_bankssts_volume_female.Rdata,mfp.female.model,329.8273406723711
rh_bankssts_volume_male.Rdata,mfp.male.model,381.7672417885337
rh_caudalanteriorcingulate_volume_female.Rdata,mfp.female.model,448.8371692496992
rh_caudalanteriorcingulate_volume_male.Rdata,mfp.male.model,510.68520583274955
rh_caudalmiddlefrontal_volume_female.Rdata,mfp.female.model,952.6558726777205
rh_caudalmiddlefrontal_volume_male.Rdata,mfp.male.model,1046.5800324896509
rh_cuneus_volume_female.Rdata,mfp.female.model,468.65612172495844
rh_cuneus_volume_male.Rdata,mfp.male.model,524.6801013417992
rh_entorhinal_volume_female.Rdata,mfp.female.model,295.54317300774824
rh_entorhinal_volume_male.Rdata,mfp.male.model,349.449814651781
rh_frontalpole_volume_female.Rdata,mfp.female.model,178.20637137240115
rh_frontalpole_volume_male.Rdata,mfp.male.model,196.1389722681864
rh_fusiform_volume_female.Rdata,mfp.female.model,1022.4869181172696
rh_fusiform_volume_male.Rdata,mfp.male.model,1178.7030707172048
rh_inferiorparietal_volume_female.Rdata,mfp.female.model,1610.1536750711616
rh_inferiorparietal_volume_male.Rdata,mfp.male.model,1852.8781519513127
rh_inferiortemporal_volume_female.Rdata,mfp.female.model,1230.7464082104273
rh_inferiortemporal_volume_male.Rdata,mfp.male.model,1399.404034669886
rh_insula_volume_female.Rdata,mfp.female.model,565.7869883044044
rh_insula_volume_male.Rdata,mfp.male.model,647.6518511823833
rh_isthmuscingulate_volume_female.Rdata,mfp.female.model,339.82485915233366
rh_isthmuscingulate_volume_male.Rdata,mfp.male.model,396.4455335463413
rh_lateraloccipital_volume_female.Rdata,mfp.female.model,1292.0333250583951
rh_lateraloccipital_volume_male.Rdata,mfp.male.model,1481.6476680533522
rh_lateralorbitofrontal_volume_female.Rdata,mfp.female.model,625.1473219329791
rh_lateralorbitofrontal_volume_male.Rdata,mfp.male.model,714.6946315683107
rh_lingual_volume_female.Rdata,mfp.female.model,838.5772800502722
rh_lingual_volume_male.Rdata,mfp.male.model,940.7542409857609
rh_medialorbitofrontal_volume_female.Rdata,mfp.female.model,481.5397516495348
rh_medialorbitofrontal_volume_male.Rdata,mfp.male.model,538.4118613472508
rh_middletemporal_volume_female.Rdata,mfp.female.model,1157.16066593403
rh_middletemporal_volume_male.Rdata,mfp.male.model,1322.3806043023085
rh_paracentral_volume_female.Rdata,mfp.female.model,517.5744800719802
rh_paracentral_volume_male.Rdata,mfp.male.model,597.0681354748142
rh_parahippocampal_volume_female.Rdata,mfp.female.model,259.5268051281684
rh_parahippocampal_volume_male.Rdata,mfp.male.model,299.4397132528111
rh_parsopercularis_volume_female.Rdata,mfp.female.model,552.1497980965647
rh_parsopercularis_volume_male.Rdata,mfp.male.model,636.417792271155
rh_parsorbitalis_volume_female.Rdata,mfp.female.model,326.4208864140861
rh_parsorbitalis_volume_male.Rdata,mfp.male.model,356.9580739241041
rh_parstriangularis_volume_female.Rdata,mfp.female.model,606.4141822208489
rh_parstriangularis_volume_male.Rdata,mfp.male.model,702.4570407729562
rh_pericalcarine_volume_female.Rdata,mfp.female.model,381.27513778334816
rh_pericalcarine_volume_male.Rdata,mfp.male.model,407.2923409555362
rh_postcentral_volume_female.Rdata,mfp.female.model,1056.8297189179311
rh_postcentral_volume_male.Rdata,mfp.male.model,1154.0674435350631
rh_posteriorcingulate_volume_female.Rdata,mfp.female.model,411.63582698440723
rh_posteriorcingulate_volume_male.Rdata,mfp.male.model,474.7540516612839
rh_precentral_volume_female.Rdata,mfp.female.model,1217.2112962497333
rh_precentral_volume_male.Rdata,mfp.male.model,1368.5581464197564
rh_precuneus_volume_female.Rdata,mfp.female.model,968.1502799224111
rh_precuneus_volume_male.Rdata,mfp.male.model,1101.6190338687481
rh_rostralanteriorcingulate_volume_female.Rdata,mfp.female.model,381.5177565581356
rh_rostralanteriorcingulate_volume_male.Rdata,mfp.male.model,418.45705322848454
rh_rostralmiddlefrontal_volume_female.Rdata,mfp.female.model,1568.7525018362278
rh_rostralmiddlefrontal_volume_male.Rdata,mfp.male.model,1761.978449066953
rh_superiorfrontal_volume_female.Rdata,mfp.female.model,1840.4148499311843
rh_superiorfrontal_volume_male.Rdata,mfp.male.model,2125.3503834432686
rh_superiorparietal_volume_female.Rdata,mfp.female.model,1439.7867618907626
rh_superiorparietal_volume_male.Rdata,mfp.male.model,1595.3388257122956
rh_superiortemporal_volume_female.Rdata,mfp.female.model,1048.0475412302553
rh_superiortemporal_volume_male.Rdata,mfp.male.model,1162.943834253025
rh_supramarginal_volume_female.Rdata,mfp.female.model,1207.054218093512
rh_supramarginal_volume_male.Rdata,mfp.male.model,1405.6752689123052
rh_temporalpole_volume_female.Rdata,mfp.female.model,348.71477823700843
rh_temporalpole_volume_male.Rdata,mfp.male.model,380.7618468526897
rh_transversetemporal_volume_female.Rdata,mfp.female.model,151.18259975508732
rh_transversetemporal_volume_male.Rdata,mfp.male.model,167.61602183551014
